review_title,review_rating,review_date,review_body,user_contributions,review_short_date,review_year,review_month,review_title_length,review_length,overall_sentiment,tokens
your escape at napoli,Excellent,2022-05-01,great hotel in naples first class service and accommodation the booking for this hotel was made by us at the last minute following unexpected events and it was so gratifying to discover an amazing and willing staff to assist with a pleasant and warm welcome it is not for nothing that we kept an eye on this hotel in the first place and as mentioned it really kept its promise the room we booked in the junior suite with a view of the harbor was cozy and comfortable smartly and efficiently equipped and included updated and modern comforts the hotel is close to the port and within easy walking distance of naples central and historic sites and public transport ,102,May 2022,2022,May,4,119,positive,"['great', 'hotel', 'naples', 'first', 'class', 'service', 'accommodation', 'booking', 'hotel', 'made', 'last', 'minute', 'following', 'unexpected', 'events', 'gratifying', 'discover', 'amazing', 'willing', 'staff', 'assist', 'pleasant', 'warm', 'welcome', 'nothing', 'kept', 'eye', 'hotel', 'first', 'place', 'mentioned', 'really', 'kept', 'promise', 'room', 'booked', 'junior', 'suite', 'view', 'harbor', 'cozy', 'comfortable', 'smartly', 'efficiently', 'equipped', 'included', 'updated', 'modern', 'comforts', 'hotel', 'close', 'port', 'within', 'easy', 'walking', 'distance', 'naples', 'central', 'historic', 'sites', 'public', 'transport']"
napoli at a top hotel,Excellent,2022-04-01,from the entry at the start until you leave an unique exeprience top still exists friendly and very helpfull staff a star hotel in practice as it should be food from breakfast to the restaurant all quality products life outside can be hectic inside the hotel romeo its all peacefull i am happy my choice was the best that could happen for us 1000 times thx for this experience,2,April 2022,2022,April,5,69,positive,"['entry', 'start', 'leave', 'unique', 'exeprience', 'top', 'still', 'exists', 'friendly', 'helpfull', 'staff', 'star', 'hotel', 'practice', 'food', 'breakfast', 'restaurant', 'quality', 'products', 'life', 'outside', 'hectic', 'inside', 'hotel', 'romeo', 'peacefull', 'happy', 'choice', 'best', 'could', 'happen', '1000', 'times', 'thx', 'experience']"
all hotel amenities closed without disclosure,Terrible,2022-04-01,this hotel charges a high rate but when we checked in we discovered that the pool and restaurant are closed due to renovations this was not too my knowledge disclosed at the time of booking this means both of the public area floors of the hotel are completely closed i was not offered any compensation for the lack of amenities i would strongly recommend avoiding this hotel until the situation is resolved ,7,April 2022,2022,April,6,72,positive,"['hotel', 'charges', 'high', 'rate', 'checked', 'discovered', 'pool', 'restaurant', 'closed', 'due', 'renovations', 'knowledge', 'disclosed', 'time', 'booking', 'means', 'public', 'area', 'floors', 'hotel', 'completely', 'closed', 'offered', 'compensation', 'lack', 'amenities', 'would', 'strongly', 'recommend', 'avoiding', 'hotel', 'situation', 'resolved']"
theabsolute best hotel in naples you could not make a better choice ,Excellent,2022-04-01,before this trip i spent a lot of time looking through reviews and finally decided on romeo and i am so glad i did my family and i stayed there this month and we left so overjoyed and impressed what stood out the most is their level of service every single staff member from the door to the restaurant was professional kind helpful friendly and attentive some of the staff that stood out were alessandro luka mario danilo daniella and chiara but it really included so many more names than we can remember the rooms were beautiful especially the wellness room with the infrared sauna and steam room the breakfast was delicious the restaurant is gorgeous there is really no downside and we can t wait to go back if you re on the fence about which hotel to stay at in ,33,April 2022,2022,April,12,142,positive,"['trip', 'spent', 'lot', 'time', 'looking', 'reviews', 'finally', 'decided', 'romeo', 'glad', 'family', 'stayed', 'month', 'left', 'overjoyed', 'impressed', 'stood', 'level', 'service', 'every', 'single', 'staff', 'member', 'door', 'restaurant', 'professional', 'kind', 'helpful', 'friendly', 'attentive', 'staff', 'stood', 'alessandro', 'luka', 'mario', 'danilo', 'daniella', 'chiara', 'really', 'included', 'many', 'names', 'remember', 'rooms', 'beautiful', 'especially', 'wellness', 'room', 'infrared', 'sauna', 'steam', 'room', 'breakfast', 'delicious', 'restaurant', 'gorgeous', 'really', 'downside', 'wait', 'back', 'fence', 'hotel', 'stay']"
strongly recommend to stay at any season ,Excellent,2022-04-01,id in the room well done staffs very pleasant roberta front desk very accommodative in house bar n restaurant breakfast selection simply superb manager mario n team greeted us with great hospitality fulfilled all the requirements without any sulkyness jacuzzi n gym very well designed and gives an amazing ambience prompt service upon request fulfilled instantly no was never an answer from all the staffs tried to the fullest to fulfill almost all the request eg changing the room to better view immediately changed guide to explore local food given the exact details to use restaurant facilities with utensils given space n cutlerries at the late hours late check out and luggage storage dealt very professionally without any hesitance overall fulfil the 5 star ,2,April 2022,2022,April,7,124,positive,"['room', 'well', 'done', 'staffs', 'pleasant', 'roberta', 'front', 'desk', 'accommodative', 'house', 'bar', 'restaurant', 'breakfast', 'selection', 'simply', 'superb', 'manager', 'mario', 'team', 'greeted', 'great', 'hospitality', 'fulfilled', 'requirements', 'without', 'sulkyness', 'jacuzzi', 'gym', 'well', 'designed', 'gives', 'amazing', 'ambience', 'prompt', 'service', 'upon', 'request', 'fulfilled', 'instantly', 'never', 'answer', 'staffs', 'tried', 'fullest', 'fulfill', 'almost', 'request', 'changing', 'room', 'better', 'view', 'immediately', 'changed', 'guide', 'explore', 'local', 'food', 'given', 'exact', 'details', 'use', 'restaurant', 'facilities', 'utensils', 'given', 'space', 'cutlerries', 'late', 'hours', 'late', 'check', 'luggage', 'storage', 'dealt', 'professionally', 'without', 'hesitance', 'overall', 'fulfil', 'star']"
amazing hotel service ,Excellent,2022-04-01,the hotel is beautiful and a short distance from the airport however what really impressed us most was the service from the hotel staff this team really is amazing and does such an incredible job the team is extremely helpful attentive respectful and super friendly kudos to the entire team including but not limited to alessandro luka mario danilo daniella and chiara you have all truly made our stay special and felt like vip guests throughout our entire stay grazie mille ,1,April 2022,2022,April,3,81,positive,"['hotel', 'beautiful', 'short', 'distance', 'airport', 'however', 'really', 'impressed', 'service', 'hotel', 'staff', 'team', 'really', 'amazing', 'incredible', 'job', 'team', 'extremely', 'helpful', 'attentive', 'respectful', 'super', 'friendly', 'kudos', 'entire', 'team', 'including', 'limited', 'alessandro', 'luka', 'mario', 'danilo', 'daniella', 'chiara', 'truly', 'made', 'stay', 'special', 'felt', 'like', 'vip', 'guests', 'throughout', 'entire', 'stay', 'grazie', 'mille']"
hotel with class in napoli,Excellent,2022-04-01,i ve stayed at the romeo many times and it s always a very special occasion every time i stay it s in a great central location but also has a wonderful view of mount vesuvius the amenities are also top tier and that goes for the service as well on my stay at this time it was my birthday and francesco and alessandro were able to get me a triple tier upgrade and in general wonderful person to talk to for any of your needs around naples i got a room with a wonderful view of the volcano and also a cake upon arrival special shout out to them but all of the people working here are amazing shout out also too mario and fillippo i always make sure to take advantage of the spa when i m here and as an avid traveler i can say this is one of my favorites in the entire world for ,10,April 2022,2022,April,5,159,positive,"['stayed', 'romeo', 'many', 'times', 'always', 'special', 'occasion', 'every', 'time', 'stay', 'great', 'central', 'location', 'also', 'wonderful', 'view', 'mount', 'vesuvius', 'amenities', 'also', 'top', 'tier', 'goes', 'service', 'well', 'stay', 'time', 'birthday', 'francesco', 'alessandro', 'able', 'get', 'triple', 'tier', 'upgrade', 'general', 'wonderful', 'person', 'talk', 'needs', 'around', 'naples', 'got', 'room', 'wonderful', 'view', 'volcano', 'also', 'cake', 'upon', 'arrival', 'special', 'shout', 'people', 'working', 'amazing', 'shout', 'also', 'mario', 'fillippo', 'always', 'make', 'sure', 'take', 'advantage', 'spa', 'avid', 'traveler', 'say', 'one', 'favorites', 'entire', 'world']"
they got you,Excellent,2022-04-01,we arrived at the romeo hotel from the four seasons in florence so you can imagine our mood as an added stress they only re opened the day earlier i was a bit judgy and being ever the traveler i was nervous the level of attention care and love was immediately felt but let s first start with the design because it s the environment and vibes that we pick up on when we travel romeo hotel was designed by kenzo tange and apparently he had a lot of opportunity to have fun there are so many little fun moments in the lobby to admire see the photos we arrived in the unstable climate of early april our room was not air conditioned and we like to sleep like polar bears the blanket as a heavy hug our first night was stuffy and well hot we didn t sleep we ,59,April 2022,2022,April,3,150,positive,"['arrived', 'romeo', 'hotel', 'four', 'seasons', 'florence', 'imagine', 'mood', 'added', 'stress', 'opened', 'day', 'earlier', 'bit', 'judgy', 'ever', 'traveler', 'nervous', 'level', 'attention', 'care', 'love', 'immediately', 'felt', 'let', 'first', 'start', 'design', 'environment', 'vibes', 'pick', 'travel', 'romeo', 'hotel', 'designed', 'kenzo', 'tange', 'apparently', 'lot', 'opportunity', 'fun', 'many', 'little', 'fun', 'moments', 'lobby', 'admire', 'see', 'photos', 'arrived', 'unstable', 'climate', 'early', 'april', 'room', 'air', 'conditioned', 'like', 'sleep', 'like', 'polar', 'bears', 'blanket', 'heavy', 'hug', 'first', 'night', 'stuffy', 'well', 'hot', 'sleep']"
september 2021,Average,2021-09-01,the front office staff fillippo was rude and very unhelpful its an expensive hotel but the view room we paid for was on the floor that looks at the parking lot i would not stay here again most of the hotel was closed no pool or roof top bar was open ,109,September 2021,2021,September,2,51,negative,"['front', 'office', 'staff', 'fillippo', 'rude', 'unhelpful', 'expensive', 'hotel', 'view', 'room', 'paid', 'floor', 'looks', 'parking', 'lot', 'would', 'stay', 'hotel', 'closed', 'pool', 'roof', 'top', 'bar', 'open']"
the romeo is the best hotel in naples,Excellent,2021-12-01,i love my stay at the romeo hotel in naples the spa is terrific and i love the rooftop pool i spent a long time in the pool the location is centrally located and the staff is wonderful i love the cool artwork and decor ,3,December 2021,2021,December,8,45,positive,"['love', 'stay', 'romeo', 'hotel', 'naples', 'spa', 'terrific', 'love', 'rooftop', 'pool', 'spent', 'long', 'time', 'pool', 'location', 'centrally', 'located', 'staff', 'wonderful', 'love', 'cool', 'artwork', 'decor']"
great stay,Excellent,2021-12-01,the pool and spa were exceptional included features the room was nice as was the location the pool was heated with a fantastic view and beautiful location adjacent to the restaurant the spa had warm hot and cold dip pools and two saunas we loved our stay ,2,December 2021,2021,December,2,47,positive,"['pool', 'spa', 'exceptional', 'included', 'features', 'room', 'nice', 'location', 'pool', 'heated', 'fantastic', 'view', 'beautiful', 'location', 'adjacent', 'restaurant', 'spa', 'warm', 'hot', 'cold', 'dip', 'pools', 'two', 'saunas', 'loved', 'stay']"
one massive flaw with this hotel,Terrible,2021-12-01,there is one massive flaw with this hotel you cannot set the temperature in your room to the temperature you want i have stayed here three times in october to december and the first two times i thought it was my problem not being able to re set the room thermostat the first time i could cope and managed to sleep the second time the room was freezing and i had to sleep in day clothes to stay warm the final time the room was 25 degrees and i couldn t breathe i called down to reception to ask for a technician to come to the room to show me how to work the thermostat and was told that it was centrally set and could not be adjusted in such a modern hotel this is ludicrous i am apparently not the only person to complain but management don t seem to want to know this is ,71,December 2021,2021,December,6,157,negative,"['one', 'massive', 'flaw', 'hotel', 'set', 'temperature', 'room', 'temperature', 'want', 'stayed', 'three', 'times', 'october', 'december', 'first', 'two', 'times', 'thought', 'problem', 'able', 'set', 'room', 'thermostat', 'first', 'time', 'could', 'cope', 'managed', 'sleep', 'second', 'time', 'room', 'freezing', 'sleep', 'day', 'clothes', 'stay', 'warm', 'final', 'time', 'room', 'degrees', 'breathe', 'called', 'reception', 'ask', 'technician', 'come', 'room', 'show', 'work', 'thermostat', 'told', 'centrally', 'set', 'could', 'adjusted', 'modern', 'hotel', 'ludicrous', 'apparently', 'person', 'complain', 'management', 'seem', 'want', 'know']"
came for the view would return for the service,Excellent,2021-08-01,i booked the romeo specifically for the view of the bay of naples and vesuvius note this is only likely if you book a junior suite because as well as some number of rooms facing the city there is a port building across the road which could also block the view the restaurant is on the top floor though and it offers an unobstructed view whether you are at breakfast or dinner i am reviewing that separately but it is also excellent the room was exactly as described and all the facilities including wifi worked well the location is 90 plus 10 minus the plus is that it is very close to many of the sights castel nuovo royal palace via chiaia the ferries to capri and the islands are literally across the road the minus is that said road is busy and the port itself is ,41,August 2021,2021,August,9,147,positive,"['booked', 'romeo', 'specifically', 'view', 'bay', 'naples', 'vesuvius', 'note', 'likely', 'book', 'junior', 'suite', 'well', 'number', 'rooms', 'facing', 'city', 'port', 'building', 'across', 'road', 'could', 'also', 'block', 'view', 'restaurant', 'top', 'floor', 'though', 'offers', 'unobstructed', 'view', 'whether', 'breakfast', 'dinner', 'reviewing', 'separately', 'also', 'excellent', 'room', 'exactly', 'described', 'facilities', 'including', 'wifi', 'worked', 'well', 'location', 'plus', 'minus', 'plus', 'close', 'many', 'sights', 'castel', 'nuovo', 'royal', 'palace', 'via', 'chiaia', 'ferries', 'capri', 'islands', 'literally', 'across', 'road', 'minus', 'said', 'road', 'busy', 'port']"
expensive and border line worth it,Excellent,2021-08-01,the view is amazing the service is good but i was left flat to be honest i expected more of this hotel when i booked it when we arrived the valet was top notch unloaded our rental car and sent the bags straight away brilliant check in was easy as well when we got to the room it was gorgeous our daughter hogged the bath all night we got a book that told us all about naples we ordered a bottle of wine and enjoyed it then we tried to book dinner fully booked we walked to our own dinner it was ok but we got no recommendations from the hotel besides a small book we returned from dinner and no knowing that guests were obviously not provided priority we tried to book the pool the pool was the only thing our kids were looking forward to i has shown them pictures ,250,August 2021,2021,August,6,152,positive,"['view', 'amazing', 'service', 'good', 'left', 'flat', 'honest', 'expected', 'hotel', 'booked', 'arrived', 'valet', 'top', 'notch', 'unloaded', 'rental', 'car', 'sent', 'bags', 'straight', 'away', 'brilliant', 'check', 'easy', 'well', 'got', 'room', 'gorgeous', 'daughter', 'hogged', 'bath', 'night', 'got', 'book', 'told', 'naples', 'ordered', 'bottle', 'wine', 'enjoyed', 'tried', 'book', 'dinner', 'fully', 'booked', 'walked', 'dinner', 'got', 'recommendations', 'hotel', 'besides', 'small', 'book', 'returned', 'dinner', 'knowing', 'guests', 'obviously', 'provided', 'priority', 'tried', 'book', 'pool', 'pool', 'thing', 'kids', 'looking', 'forward', 'shown', 'pictures']"
very stylish hotel not to be missed ,Very Good,2021-10-01,i just read xmaxma s review and totally disagree did we stay at the same hotel we just stayed there for 4 days at the end of sept early oct and had an excellent time the lobby area was stylish very clean and well maintained the lobby and bar areas are very well decorated and actually have comfortable seating throughout in terms of decoration i would have to say that it is one of the more interesting hotel lobby areas i have seen in many years the outside cactus garden is quite large and also well maintained the elevators run smoothly and we had close to zero wait time the views from the upper restaurant and terrace are spectacular and the location makes taking a ferry to ischia or procida very easy lastly the staff were excellent very friendly and ,30,October 2021,2021,October,7,140,positive,"['read', 'xmaxma', 'review', 'totally', 'disagree', 'stay', 'hotel', 'stayed', 'days', 'end', 'sept', 'early', 'oct', 'excellent', 'time', 'lobby', 'area', 'stylish', 'clean', 'well', 'maintained', 'lobby', 'bar', 'areas', 'well', 'decorated', 'actually', 'comfortable', 'seating', 'throughout', 'terms', 'decoration', 'would', 'say', 'one', 'interesting', 'hotel', 'lobby', 'areas', 'seen', 'many', 'years', 'outside', 'cactus', 'garden', 'quite', 'large', 'also', 'well', 'maintained', 'elevators', 'run', 'smoothly', 'close', 'zero', 'wait', 'time', 'views', 'upper', 'restaurant', 'terrace', 'spectacular', 'location', 'makes', 'taking', 'ferry', 'ischia', 'procida', 'easy', 'lastly', 'staff', 'excellent', 'friendly']"
an ok hotel for 200,Average,2021-09-01,construction is going on all around the hotel the lobby and rooms could be cleaner service is slow i think the hotel is way overpriced be careful in south ipitaly everyone is trying to rip off some money off you all around ,1,September 2021,2021,September,5,42,positive,"['construction', 'going', 'around', 'hotel', 'lobby', 'rooms', 'could', 'cleaner', 'service', 'slow', 'think', 'hotel', 'way', 'overpriced', 'careful', 'south', 'ipitaly', 'everyone', 'trying', 'rip', 'money', 'around']"
perfect home base in bustling napoli,Excellent,2021-09-01,napoli is a bustling city with great potential for tourism as it is also the center of an attractive region with capri pompei and the amalfi coast all nearby hotel romeo is a great starting point and retreat after a day in the sometimes hectic and chaotic city the architecture is modern stylish yet full of warmth this stylishness combined with warmth and friendliness seems also common with the locals and especially the staff of the hotel they are competent and fast but you also feel like their personal guest the view on harbor shows a mix of industry with some derelict warehouses and giant cruise ships stopping for one day which is definitely not enough for napoli and is surroundings behind the harbor you see parts of the bay of naples with mount ,24,September 2021,2021,September,6,134,positive,"['napoli', 'bustling', 'city', 'great', 'potential', 'tourism', 'also', 'center', 'attractive', 'region', 'capri', 'pompei', 'amalfi', 'coast', 'nearby', 'hotel', 'romeo', 'great', 'starting', 'point', 'retreat', 'day', 'sometimes', 'hectic', 'chaotic', 'city', 'architecture', 'modern', 'stylish', 'yet', 'full', 'warmth', 'stylishness', 'combined', 'warmth', 'friendliness', 'seems', 'also', 'common', 'locals', 'especially', 'staff', 'hotel', 'competent', 'fast', 'also', 'feel', 'like', 'personal', 'guest', 'view', 'harbor', 'shows', 'mix', 'industry', 'derelict', 'warehouses', 'giant', 'cruise', 'ships', 'stopping', 'one', 'day', 'definitely', 'enough', 'napoli', 'surroundings', 'behind', 'harbor', 'see', 'parts', 'bay', 'naples', 'mount']"
romeo disappoints,Average,2021-08-01,situated on a fairly busy thoroughfare in naples this is a very sleek and stylish looking hotel our jr suite facing toward the bay of naples was adequate in size with modern bathroom the view however was of assorted terminals from which ferries and cruise ships of all sizes come and go there was no view of the bay vesuvius or capri during our stay the world s largest cruise ship arrived to the port and if we otherwise had had a view this ship would surely have blocked it the 10th floor open dining room does have a view when there is the slightest breeze the smell of marine fuel and the smoke stack stench are palpable reception helped us with dining reservations but on several occasions provided us with misinformation costing valuable time and missed ,34,August 2021,2021,August,2,137,negative,"['situated', 'fairly', 'busy', 'thoroughfare', 'naples', 'sleek', 'stylish', 'looking', 'hotel', 'suite', 'facing', 'toward', 'bay', 'naples', 'adequate', 'size', 'modern', 'bathroom', 'view', 'however', 'assorted', 'terminals', 'ferries', 'cruise', 'ships', 'sizes', 'come', 'view', 'bay', 'vesuvius', 'capri', 'stay', 'world', 'largest', 'cruise', 'ship', 'arrived', 'port', 'otherwise', 'view', 'ship', 'would', 'surely', 'blocked', '10th', 'floor', 'open', 'dining', 'room', 'view', 'slightest', 'breeze', 'smell', 'marine', 'fuel', 'smoke', 'stack', 'stench', 'palpable', 'reception', 'helped', 'dining', 'reservations', 'several', 'occasions', 'provided', 'misinformation', 'costing', 'valuable', 'time', 'missed']"
excellent stay,Excellent,2021-09-01,hotel romeo was a delightful stay for my first visit to napoli check in was seamless then housekeeping generously and quickly responded to my requests for a few items i neglected to pack the pool is by reservation for covid considerations and though it is not for sport was quite refreshing and beautiful to enjoy rooftop views of the city in the lounge danilo s command of english and warm demeanor put me at ease when i asked for expert local recommendations and i appreciate the front desk s partnership with a very prompt taxi for my early flight in all the gracious team at hotel romeo helped my solo business trip feel more like a lovely relaxing weekend holiday i look forward to my next visit ,4,September 2021,2021,September,2,127,positive,"['hotel', 'romeo', 'delightful', 'stay', 'first', 'visit', 'napoli', 'check', 'seamless', 'housekeeping', 'generously', 'quickly', 'responded', 'requests', 'items', 'neglected', 'pack', 'pool', 'reservation', 'covid', 'considerations', 'though', 'sport', 'quite', 'refreshing', 'beautiful', 'enjoy', 'rooftop', 'views', 'city', 'lounge', 'danilo', 'command', 'english', 'warm', 'demeanor', 'put', 'ease', 'asked', 'expert', 'local', 'recommendations', 'appreciate', 'front', 'desk', 'partnership', 'prompt', 'taxi', 'early', 'flight', 'gracious', 'team', 'hotel', 'romeo', 'helped', 'solo', 'business', 'trip', 'feel', 'like', 'lovely', 'relaxing', 'weekend', 'holiday', 'look', 'forward', 'next', 'visit']"
most comfortable and convenient stay in naples,Excellent,2021-09-01,romeo hotel definitely has the best views as you can get rooms facing the port and mount versuvius which is very beautiful the hotel has all of the modern amenities you need to be comfortable i really loved the huge luxurious tub in my room there s a spa gym and great rooftop pool where you can swim and have drinks with a view the hotel is close to the spanish quarter and within walking distance to the city center and all the main attractions of naples without being in the thick of it all definitely recommend for a comfortable and convenient stay ,4,September 2021,2021,September,7,103,positive,"['romeo', 'hotel', 'definitely', 'best', 'views', 'get', 'rooms', 'facing', 'port', 'mount', 'versuvius', 'beautiful', 'hotel', 'modern', 'amenities', 'need', 'comfortable', 'really', 'loved', 'huge', 'luxurious', 'tub', 'room', 'spa', 'gym', 'great', 'rooftop', 'pool', 'swim', 'drinks', 'view', 'hotel', 'close', 'spanish', 'quarter', 'within', 'walking', 'distance', 'city', 'center', 'main', 'attractions', 'naples', 'without', 'thick', 'definitely', 'recommend', 'comfortable', 'convenient', 'stay']"
the room was incredible ,Excellent,2021-08-01,really beautiful room with an excellent harbor view our evening dinners at the restaurant were so romantic my expectations were met and exceeded in regards to the service provided by all the wonderful staff ,21,August 2021,2021,August,4,34,positive,"['really', 'beautiful', 'room', 'excellent', 'harbor', 'view', 'evening', 'dinners', 'restaurant', 'romantic', 'expectations', 'met', 'exceeded', 'regards', 'service', 'provided', 'wonderful', 'staff']"
very cool vibe with a wonderful restaurant and friendly staff ,Very Good,2021-08-01,we stayed 4 nights at romeo after leaving a bad experience at the villa marina capri hotel we were thrilled to get the extra night on one day s notice location is near the cruise ship docks so its a bit gritty but we were able to walk to all the major sites in naples our room deluxe harbor view was small but comfortable the bathroom shower configuration is tight with one sink the decor is an eclectic mix of japanese zen and italian we loved it due to covid the bistro more casual restaurant was only open on weekends so we did not get a chance to try it il commandante is a treat for gourmandes but not suited for casual dining at dinner breakfast and lunch are available and we enjoyed light lunch of pasta pomodoro and salad the spa was closed but the small pool ,10,August 2021,2021,August,10,148,positive,"['stayed', 'nights', 'romeo', 'leaving', 'bad', 'experience', 'villa', 'marina', 'capri', 'hotel', 'thrilled', 'get', 'extra', 'night', 'one', 'day', 'notice', 'location', 'near', 'cruise', 'ship', 'docks', 'bit', 'gritty', 'able', 'walk', 'major', 'sites', 'naples', 'room', 'deluxe', 'harbor', 'view', 'small', 'comfortable', 'bathroom', 'shower', 'configuration', 'tight', 'one', 'sink', 'decor', 'eclectic', 'mix', 'japanese', 'zen', 'italian', 'loved', 'due', 'covid', 'bistro', 'casual', 'restaurant', 'open', 'weekends', 'get', 'chance', 'try', 'commandante', 'treat', 'gourmandes', 'suited', 'casual', 'dining', 'dinner', 'breakfast', 'lunch', 'available', 'enjoyed', 'light', 'lunch', 'pasta', 'pomodoro', 'salad', 'spa', 'closed', 'small', 'pool']"
romeo hotel naples,Very Good,2021-08-01,dear all we spent a nice week in romeo hotel all employed people were very friendly and customer oriented special thank to the reception aura and the restaurant staff danilo mario ciro the hotel is well located the best harbor view vit family,1,August 2021,2021,August,3,43,positive,"['dear', 'spent', 'nice', 'week', 'romeo', 'hotel', 'employed', 'people', 'friendly', 'customer', 'oriented', 'special', 'thank', 'reception', 'aura', 'restaurant', 'staff', 'danilo', 'mario', 'ciro', 'hotel', 'well', 'located', 'best', 'harbor', 'view', 'vit', 'family']"
great service,Excellent,2021-08-01,we were lucky to meet alessandro the best receptionist we ever had he was kind professional funny everything anyone in this sector should aim for he made our stay in napels even more enjoyable if he is working when you re staying at romeo prepare for an very enjoyable stay ,1,August 2021,2021,August,2,50,positive,"['lucky', 'meet', 'alessandro', 'best', 'receptionist', 'ever', 'kind', 'professional', 'funny', 'everything', 'anyone', 'sector', 'aim', 'made', 'stay', 'napels', 'even', 'enjoyable', 'working', 'staying', 'romeo', 'prepare', 'enjoyable', 'stay']"
best place to stay in naples ,Excellent,2021-07-01,stunning hotel with impeccable service the restaurant is a must do with it s superior food and staff plus amazing view of the bay the location is a perfect mix safe and luxurious with view of the water while you are in walking distance to the historic sites local restaurants and shops ,2,July 2021,2021,July,6,52,positive,"['stunning', 'hotel', 'impeccable', 'service', 'restaurant', 'must', 'superior', 'food', 'staff', 'plus', 'amazing', 'view', 'bay', 'location', 'perfect', 'mix', 'safe', 'luxurious', 'view', 'water', 'walking', 'distance', 'historic', 'sites', 'local', 'restaurants', 'shops']"
not worth the money really disappointing,Poor,2021-06-01,be aware that as of july 21 the pool is not in operation this was not disclosed to use before we arrived even if it was open you need to have a reservation and can only stay a maximum of 2 hours same with the spa even if you are a guest of the hotel and just want to use the facilities with no treatment appointment you still have to make a reservation and only stay two hours we booked this hotel in order to use their pool and were very disappointed when we discovered it was closed we called and went down to the front desk to see what other options we had the staff was not very accommodating to make up for this the spa was full but they managed to squeeze us in in other news the porter took two hours to bring our luggage to our room i wish i was joking we ,2,June 2021,2021,June,6,157,positive,"['aware', 'july', 'pool', 'operation', 'disclosed', 'use', 'arrived', 'even', 'open', 'need', 'reservation', 'stay', 'maximum', 'hours', 'spa', 'even', 'guest', 'hotel', 'want', 'use', 'facilities', 'treatment', 'appointment', 'still', 'make', 'reservation', 'stay', 'two', 'hours', 'booked', 'hotel', 'order', 'use', 'pool', 'disappointed', 'discovered', 'closed', 'called', 'went', 'front', 'desk', 'see', 'options', 'staff', 'accommodating', 'make', 'spa', 'full', 'managed', 'squeeze', 'news', 'porter', 'took', 'two', 'hours', 'bring', 'luggage', 'room', 'wish', 'joking']"
modern excellent hotel on the waterfront in naples,Very Good,2021-07-01,modern excellent hotel on the waterfront in naples the front desk service is excellent and the hotel is impeccably maintained it is located in a convenient area to historic sites however the immediate neighborhood is a bit gritty ,1,July 2021,2021,July,8,38,positive,"['modern', 'excellent', 'hotel', 'waterfront', 'naples', 'front', 'desk', 'service', 'excellent', 'hotel', 'impeccably', 'maintained', 'located', 'convenient', 'area', 'historic', 'sites', 'however', 'immediate', 'neighborhood', 'bit', 'gritty']"
they copied my credit card,Terrible,2020-10-01,on our last night at 2 50am i got a notification from my bank saying a payment had been declined the hotel had copied my card and tried to take out 645 luckily i didn t have enough money in my account for them to take it did speak to reception about it and they were very panicked and said it was a system error of theirs and does sometimes happen which doesn t seem right to me never been to a hotel where that s happened before and we paid our deposit at the beginning of our stay so wasn t anything to do with that hotel was alright not in an amazing area or views but we knew that from seeing pictures on here and instagram spa was nice and room modern ,1,October 2020,2020,October,5,134,positive,"['last', 'night', '50am', 'got', 'notification', 'bank', 'saying', 'payment', 'declined', 'hotel', 'copied', 'card', 'tried', 'take', '645', 'luckily', 'enough', 'money', 'account', 'take', 'speak', 'reception', 'panicked', 'said', 'system', 'error', 'sometimes', 'happen', 'seem', 'right', 'never', 'hotel', 'happened', 'paid', 'deposit', 'beginning', 'stay', 'anything', 'hotel', 'alright', 'amazing', 'area', 'views', 'knew', 'seeing', 'pictures', 'instagram', 'spa', 'nice', 'room', 'modern']"
great service and very modern,Excellent,2020-09-01,i had a great experience in this hotel with my friends for four days sadly due to covid there were very few other guests and the pool was restricted even with those restrictions the hotel was still amazing they gave us great and friendly service they had some amazing wines and restaurants the interior is full of art and modern touches a very nice games room to play some pool and listen to music and have some drinks their staff speaks very good english i would really recommend this hotel to anyone staying in naples ,5,September 2020,2020,September,5,95,positive,"['great', 'experience', 'hotel', 'friends', 'four', 'days', 'sadly', 'due', 'covid', 'guests', 'pool', 'restricted', 'even', 'restrictions', 'hotel', 'still', 'amazing', 'gave', 'great', 'friendly', 'service', 'amazing', 'wines', 'restaurants', 'interior', 'full', 'art', 'modern', 'touches', 'nice', 'games', 'room', 'play', 'pool', 'listen', 'music', 'drinks', 'staff', 'speaks', 'good', 'english', 'would', 'really', 'recommend', 'hotel', 'anyone', 'staying', 'naples']"
